index,B01001_027E,state,county,tract,block group,B25044_010E,B03002_001E,B15003_002E,B01001_023E,B27001_020E,B27001_054E,B23025_003E,B16004_035E,B16004_067E,B27001_026E,B27001_048E,B01001_024E,B03002_006E,B03002_012E,B01001_048E,B16004_023E,B15003_009E,B27001_001E,B27001_045E,B16004_039E,B19055_002E,B27001_008E,B27001_051E,B27001_057E,B16004_001E,B17021_001E,B15003_007E,B15003_005E,B01001_026E,B15003_015E,B01001_001E,B27001_005E,B15003_006E,B25002_003E,C24010_055E,B16004_030E,B01001_020E,B16004_057E,B16004_045E,B25002_001E,B16004_029E,C24010_068E,B01001_025E,B16004_017E,C24010_038E,B15003_016E,B01001_021E,B15003_008E,B16004_061E,B16004_044E,B16004_066E,B16004_062E,B15003_001E,B16004_040E,B25003_001E,B27001_039E,B27001_017E,B11005_005E,B03002_004E,C24010_001E,B11001_006E,B16004_022E,B16004_056E,B17021_002E,B16004_008E,B19001_001E,C24010_032E,B25003_003E,B11005_003E,B25024_010E,B01001_022E,B25044_003E,B01001_045E,B25077_001E,B16004_052E,B19055_001E,B01001_049E,B15003_014E,B23025_005E,B27001_023E,B27001_029E,B03002_005E,C24010_019E,B25064_001E,B16004_034E,B27001_042E,B19001_017E,B25024_001E,B15003_013E,B01001_003E,B27001_036E,B16004_012E,B27001_014E,B15003_003E,B11001_001E,B25044_001E,B01002_001E,B01001_044E,B27001_033E,B01001_046E,B16004_018E,B16004_007E,B15003_004E,B15003_011E,B25010_001E,B15003_010E,B27001_011E,B15003_012E,B01001_047E,B16004_013E,B16004_051E,B19301_001E,bg_fips,tract_fips,country_fips,county_fips,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
484530001011,19.0,48,453,000101,1,0.0,940.0,0.0,22.0,16.0,0.0,571.0,0.0,0.0,0.0,22.0,13.0,0.0,117.0,0.0,0.0,0.0,3975.0,12.0,0.0,54.0,44.0,15.0,0.0,857.0,940.0,0.0,0.0,507.0,0.0,940.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,12.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,0.0,388.0,16.0,70.0,52.0,6.0,509.0,31.0,0.0,0.0,95.0,0.0,388.0,26.0,115.0,145.0,0.0,6.0,0.0,0.0,410700.0,0.0,388.0,10.0,0.0,62.0,13.0,0.0,0.0,8.0,1541.0,8.0,34.0,60.0,388.0,0.0,64.0,16.0,0.0,7.0,0.0,388.0,388.0,37.5,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.42,0.0,13.0,0.0,22.0,0.0,0.0,42141.0,484530001011,48453000101,48453,48453,48,453,000101,1,1500000US484530001011,484530001011,1,BG,951255,0,"POLYGON ((-97.755501 30.334989999999998, -97.75501299999999 30.336232, -97.75119099999999 30.334509999999998, -97.749749 30.334494999999997, -97.748971 30.332932, -97.746358 30.330420999999998, -97.74689 30.327143, -97.74609699999999 30.326141, -97.745498 30.320406, -97.745909 30.320057, -97.749292 30.320717, -97.749118 30.318876, -97.752393 30.320425999999998, -97.753479 30.320567999999998, -97.749144 30.327637, -97.755685 30.330824, -97.755501 30.334989999999998))"
484530001012,0.0,48,453,000101,2,0.0,1307.0,0.0,0.0,16.0,0.0,862.0,0.0,0.0,0.0,22.0,35.0,0.0,131.0,11.0,0.0,0.0,3975.0,12.0,0.0,120.0,44.0,15.0,0.0,1271.0,1300.0,0.0,0.0,589.0,0.0,1307.0,0.0,0.0,24.0,63.0,0.0,0.0,0.0,0.0,573.0,0.0,0.0,16.0,0.0,368.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,965.0,0.0,549.0,16.0,70.0,28.0,0.0,834.0,22.0,0.0,0.0,62.0,0.0,549.0,4.0,57.0,144.0,0.0,22.0,0.0,0.0,372500.0,0.0,549.0,0.0,16.0,28.0,13.0,0.0,13.0,26.0,1547.0,8.0,34.0,151.0,573.0,0.0,36.0,16.0,0.0,7.0,0.0,549.0,549.0,41.9,7.0,0.0,35.0,0.0,0.0,0.0,0.0,2.38,0.0,13.0,0.0,0.0,0.0,0.0,67450.0,484530001012,48453000101,48453,48453,48,453,000101,2,1500000US484530001012,484530001012,2,BG,1105423,0,"POLYGON ((-97.76411499999999 30.330838999999997, -97.76036599999999 30.333043999999997, -97.757077 30.337434, -97.75501299999999 30.336232, -97.755501 30.334989999999998, -97.755685 30.330824, -97.749144 30.327637, -97.753479 30.320567999999998, -97.755296 30.321354999999997, -97.75590000000001 30.321367, -97.756137 30.321379, -97.755991 30.325013, -97.758505 30.326617, -97.764645 30.329568, -97.76411499999999 30.330838999999997))"
484530001013,16.0,48,453,000101,3,73.0,1814.0,0.0,8.0,16.0,0.0,1003.0,0.0,0.0,0.0,22.0,30.0,47.0,159.0,26.0,0.0,0.0,3975.0,12.0,0.0,401.0,44.0,15.0,0.0,1728.0,1748.0,0.0,0.0,1076.0,8.0,1814.0,0.0,0.0,175.0,87.0,0.0,15.0,0.0,0.0,1183.0,0.0,0.0,43.0,0.0,511.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,1462.0,0.0,1008.0,16.0,70.0,48.0,18.0,936.0,75.0,0.0,0.0,110.0,0.0,1008.0,39.0,584.0,138.0,8.0,8.0,99.0,26.0,390500.0,0.0,1008.0,230.0,28.0,67.0,13.0,0.0,0.0,0.0,1501.0,0.0,34.0,62.0,1183.0,0.0,70.0,16.0,0.0,7.0,0.0,1008.0,1008.0,39.8,0.0,0.0,32.0,0.0,0.0,0.0,8.0,1.73,0.0,13.0,0.0,59.0,0.0,0.0,53177.0,484530001013,48453000101,48453,48453,48,453,000101,3,1500000US484530001013,484530001013,3,BG,1068321,0,"POLYGON ((-97.757808 30.309068, -97.756783 30.314842, -97.756137 30.321379, -97.75590000000001 30.321367, -97.755296 30.321354999999997, -97.753479 30.320567999999998, -97.752393 30.320425999999998, -97.749118 30.318876, -97.749246 30.315669, -97.74865 30.312972, -97.748842 30.308964, -97.748003 30.307218, -97.74758899999999 30.305623999999998, -97.74882099999999 30.304717, -97.749259 30.305737999999998, -97.750412 30.307159, -97.75162399999999 30.307765, -97.754639 30.308569, -97.757179 30.308968, -97.757808 30.309068))"
484530001021,89.0,48,453,000102,1,0.0,1565.0,0.0,16.0,17.0,0.0,810.0,0.0,0.0,0.0,2.0,52.0,0.0,47.0,16.0,0.0,0.0,2526.0,2.0,0.0,255.0,0.0,0.0,0.0,1400.0,1564.0,2.0,0.0,870.0,1.0,1565.0,0.0,0.0,79.0,10.0,0.0,19.0,0.0,0.0,758.0,6.0,0.0,10.0,0.0,357.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.0,0.0,679.0,1.0,0.0,45.0,77.0,794.0,32.0,0.0,0.0,72.0,0.0,679.0,0.0,71.0,172.0,0.0,65.0,9.0,31.0,641600.0,0.0,679.0,46.0,11.0,16.0,14.0,0.0,0.0,43.0,1031.0,0.0,5.0,228.0,758.0,1.0,76.0,0.0,0.0,0.0,0.0,679.0,679.0,49.9,17.0,0.0,63.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,13.0,46.0,0.0,0.0,103883.0,484530001021,48453000102,48453,48453,48,453,000102,1,1500000US484530001021,484530001021,1,BG,2921983,138160,"POLYGON ((-97.78103899999999 30.332416, -97.779428 30.33248, -97.77725099999999 30.335186, -97.777323 30.337155, -97.77696 30.337049999999998, -97.776665 30.336888, -97.776568 30.336812, -97.77645299999999 30.336667, -97.776388 30.33643, -97.77584399999999 30.335614, -97.775447 30.338164, -97.77214099999999 30.339101999999997, -97.770377 30.340897, -97.76860699999999 30.341006, -97.766534 30.340600000000002, -97.763049 30.342575, -97.76043399999999 30.341019, -97.75891 30.338441, -97.757077 30.337434, -97.76036599999999 30.333043999999997, -97.76411499999999 30.330838999999997, -97.764645 30.329568, -97.766487 30.328094999999998, -97.76789 30.325063999999998, -97.770236 30.322502, -97.77340699999999 30.323629, -97.772869 30.320543999999998, -97.774525 30.316339, -97.7716 30.313163999999997, -97.773834 30.312597999999998, -97.77588399999999 30.313606, -97.775661 30.31803, -97.77612099999999 30.320918, -97.776072 30.322177, -97.77650299999999 30.323838, -97.779747 30.330537, -97.780923 30.332248, -97.78103899999999 30.332416))"
484530001022,61.0,48,453,000102,2,0.0,991.0,0.0,0.0,17.0,0.0,476.0,0.0,0.0,0.0,2.0,14.0,0.0,36.0,28.0,0.0,0.0,2526.0,2.0,0.0,152.0,0.0,0.0,0.0,930.0,961.0,0.0,0.0,510.0,0.0,991.0,0.0,0.0,0.0,20.0,0.0,17.0,0.0,0.0,423.0,0.0,0.0,32.0,0.0,215.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,678.0,0.0,423.0,1.0,0.0,22.0,15.0,462.0,20.0,0.0,0.0,8.0,0.0,423.0,0.0,10.0,139.0,0.0,21.0,9.0,4.0,736300.0,0.0,423.0,27.0,0.0,14.0,14.0,0.0,0.0,0.0,1402.2322274881517,0.0,5.0,145.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,423.0,51.1,0.0,0.0,21.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,15.0,0.0,0.0,100399.0,484530001022,48453000102,48453,48453,48,453,000102,2,1500000US484530001022,484530001022,2,BG,2584046,0,"POLYGON ((-97.772869 30.320543999999998, -97.77340699999999 30.323629, -97.770236 30.322502, -97.76789 30.325063999999998, -97.766487 30.328094999999998, -97.764645 30.329568, -97.758505 30.326617, -97.755991 30.325013, -97.756137 30.321379, -97.756783 30.314842, -97.757808 30.309068, -97.761624 30.309949999999997, -97.76267399999999 30.31048, -97.764229 30.311853, -97.767155 30.313537, -97.76903999999999 30.314529, -97.7716 30.313163999999997, -97.774525 30.316339, -97.772869 30.320543999999998))"
484530002031,35.0,48,453,000203,1,16.0,1460.0,0.0,15.0,0.0,0.0,759.0,0.0,0.0,0.0,0.0,6.0,84.0,211.0,10.0,0.0,12.0,1268.0,2.0,0.0,35.0,5.0,0.0,0.0,1400.0,1268.0,0.0,0.0,852.0,3.0,1460.0,0.0,0.0,149.0,28.0,0.0,0.0,0.0,0.0,818.0,0.0,0.0,0.0,0.0,350.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,761.0,0.0,669.0,42.0,6.0,20.0,56.0,687.0,41.0,0.0,0.0,417.0,0.0,669.0,0.0,669.0,62.0,0.0,2.0,0.0,13.0,414126.2527881041,0.0,669.0,0.0,2.0,72.0,3.0,0.0,0.0,5.0,1674.0,0.0,12.0,26.0,818.0,0.0,25.0,0.0,0.0,11.0,0.0,669.0,669.0,25.6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.86,0.0,8.0,14.0,16.0,0.0,0.0,34956.0,484530002031,48453000203,48453,48453,48,453,000203,1,1500000US484530002031,484530002031,1,BG,1208518,0,"POLYGON ((-97.740039 30.309949999999997, -97.737571 30.313464, -97.74156699999999 30.315400999999998, -97.739561 30.318595, -97.73754699999999 30.317657999999998, -97.73400799999999 30.323279999999997, -97.73187899999999 30.322181999999998, -97.733537 30.319415, -97.731133 30.318265, -97.73222299999999 30.316499, -97.732976 30.310843, -97.735796 30.30639, -97.738147 30.302740999999997, -97.74311 30.305194999999998, -97.740039 30.309949999999997))"
484530002041,26.0,48,453,000204,1,57.0,1189.0,0.0,0.0,11.0,13.0,749.0,0.0,0.0,0.0,6.0,0.0,38.0,168.0,0.0,0.0,0.0,3045.0,15.0,0.0,43.0,0.0,0.0,0.0,1138.0,1189.0,0.0,0.0,584.0,3.0,1189.0,0.0,0.0,33.0,79.0,0.0,16.0,0.0,0.0,683.0,15.0,0.0,0.0,0.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,650.0,1.0,22.0,44.0,4.0,698.0,40.0,0.0,0.0,425.0,0.0,650.0,8.0,466.0,83.0,0.0,0.0,20.0,0.0,348800.0,0.0,650.0,0.0,0.0,51.0,7.0,0.0,0.0,71.0,904.0,0.0,48.0,40.0,683.0,0.0,25.0,0.0,0.0,95.0,0.0,650.0,650.0,25.3,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.82,0.0,32.0,15.0,0.0,0.0,0.0,35782.0,484530002041,48453000204,48453,48453,48,453,000204,1,1500000US484530002041,484530002041,1,BG,513785,0,"POLYGON ((-97.747772 30.297742999999997, -97.74311 30.305194999999998, -97.738147 30.302740999999997, -97.74210000000001 30.296504, -97.742817 30.295429, -97.743918 30.295921999999997, -97.747772 30.297742999999997))"
484530002042,46.0,48,453,000204,2,36.0,1187.0,0.0,4.0,11.0,13.0,773.0,0.0,0.0,0.0,6.0,10.0,13.0,113.0,4.0,0.0,0.0,3045.0,15.0,0.0,47.0,0.0,0.0,0.0,1133.0,1140.0,0.0,0.0,531.0,0.0,1187.0,0.0,0.0,25.0,31.0,0.0,0.0,0.0,0.0,618.0,0.0,0.0,0.0,0.0,283.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,917.0,0.0,593.0,1.0,22.0,19.0,12.0,748.0,40.0,0.0,0.0,105.0,0.0,593.0,7.0,303.0,88.0,0.0,15.0,0.0,7.0,457500.0,0.0,593.0,6.0,3.0,25.0,7.0,0.0,0.0,13.0,991.0,0.0,48.0,84.0,618.0,0.0,8.0,0.0,0.0,95.0,0.0,593.0,593.0,35.8,24.0,0.0,20.0,0.0,0.0,0.0,0.0,1.92,3.0,32.0,3.0,7.0,0.0,0.0,57693.0,484530002042,48453000204,48453,48453,48,453,000204,2,1500000US484530002042,484530002042,2,BG,549460,0,"POLYGON ((-97.749118 30.318876, -97.74156699999999 30.315400999999998, -97.742594 30.311189, -97.74267499999999 30.308427, -97.748499 30.310792, -97.747506 30.307088999999998, -97.748003 30.307218, -97.748842 30.308964, -97.74865 30.312972, -97.749246 30.315669, -97.749118 30.318876))"
484530002043,35.0,48,453,000204,3,21.0,716.0,0.0,0.0,11.0,13.0,415.0,0.0,0.0,0.0,6.0,0.0,65.0,134.0,8.0,0.0,0.0,3045.0,15.0,0.0,74.0,0.0,0.0,0.0,658.0,716.0,0.0,0.0,410.0,0.0,716.0,0.0,0.0,25.0,5.0,0.0,23.0,0.0,0.0,394.0,2.0,0.0,19.0,0.0,230.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,573.0,0.0,369.0,1.0,22.0,16.0,11.0,407.0,12.0,0.0,0.0,49.0,0.0,369.0,0.0,178.0,98.0,0.0,5.0,0.0,13.0,564100.0,0.0,369.0,0.0,0.0,8.0,7.0,0.0,0.0,42.0,884.0,0.0,48.0,68.0,394.0,0.0,23.0,0.0,0.0,95.0,0.0,369.0,369.0,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,32.0,0.0,1.0,0.0,0.0,54037.0,484530002043,48453000204,48453,48453,48,453,000204,3,1500000US484530002043,484530002043,3,BG,759687,0,"POLYGON ((-97.74882099999999 30.304717, -97.74758899999999 30.305623999999998, -97.748003 30.307218, -97.747506 30.307088999999998, -97.748499 30.310792, -97.74267499999999 30.308427, -97.742594 30.311189, -97.74156699999999 30.315400999999998, -97.737571 30.313464, -97.740039 30.309949999999997, -97.74311 30.305194999999998, -97.747772 30.297742999999997, -97.74910899999999 30.298862, -97.74710999999999 30.299484, -97.75009 30.302673, -97.74882099999999 30.304717))"
484530002051,0.0,48,453,000205,1,22.0,1781.0,0.0,0.0,22.0,0.0,1151.0,0.0,0.0,0.0,0.0,26.0,264.0,275.0,0.0,0.0,0.0,4143.0,0.0,0.0,91.0,0.0,0.0,0.0,1738.0,1781.0,0.0,0.0,774.0,14.0,1781.0,21.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,836.0,0.0,0.0,0.0,0.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,1321.0,0.0,836.0,63.0,23.0,80.0,20.0,1088.0,50.0,0.0,0.0,315.0,0.0,836.0,0.0,440.0,102.0,0.0,81.0,55.0,99.0,312300.0,0.0,836.0,0.0,0.0,63.0,22.0,0.0,0.0,166.0,1013.0,0.0,55.0,85.0,836.0,26.0,43.0,0.0,0.0,134.0,0.0,836.0,836.0,38.1,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,23.0,23.0,0.0,0.0,36499.0,484530002051,48453000205,48453,48453,48,453,000205,1,1500000US484530002051,484530002051,1,BG,576345,0,"POLYGON ((-97.73982199999999 30.334851999999998, -97.73159299999999 30.330871, -97.735869 30.324161999999998, -97.73961299999999 30.325851999999998, -97.740096 30.33248, -97.73982199999999 30.334851999999998))"
