index,B16004_039E,state,county,tract,block group,B25010_001E,B27001_048E,B27001_023E,B16004_012E,B25002_001E,B01001_025E,B16004_007E,B16004_061E,B01001_027E,B11005_005E,B27001_029E,B27001_033E,B11001_001E,B03002_001E,B25044_003E,B15003_010E,B16004_051E,B15003_011E,B16004_008E,B17021_001E,B25024_010E,B01001_021E,B16004_022E,B16004_056E,B01001_046E,C24010_068E,B25077_001E,B01001_020E,B15003_012E,B01001_048E,B27001_008E,B03002_004E,B23025_005E,B27001_026E,C24010_001E,B25024_001E,B01002_001E,B01001_023E,B27001_020E,B25044_010E,C24010_055E,B23025_003E,B15003_001E,B16004_030E,C24010_019E,B01001_044E,B16004_044E,B03002_006E,B16004_040E,B01001_022E,B25044_001E,B19001_001E,B16004_018E,B16004_035E,B19001_017E,B15003_006E,B27001_014E,B27001_039E,C24010_038E,B25064_001E,B19055_002E,B15003_004E,B11001_006E,B15003_005E,B16004_067E,B27001_051E,B16004_057E,B01001_001E,B27001_001E,B25003_001E,B03002_005E,B27001_042E,B19055_001E,B01001_047E,B19301_001E,B15003_002E,B15003_003E,B16004_001E,B01001_045E,B27001_057E,B27001_054E,B27001_017E,B27001_011E,B15003_009E,B03002_012E,B11005_003E,B16004_029E,B16004_066E,B15003_007E,B16004_034E,B16004_045E,B01001_003E,B15003_014E,B25002_003E,B15003_016E,B01001_026E,B01001_049E,B16004_052E,B17021_002E,B15003_015E,B25003_003E,B01001_024E,B27001_045E,B16004_013E,C24010_032E,B15003_013E,B27001_036E,B16004_062E,B27001_005E,B16004_023E,B16004_017E,B15003_008E,bg_fips,tract_fips,country_fips,county_fips,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
484530001011,0.0,48,453,000101,1,2.64,0.0,14.0,0.0,396.0,21.0,0.0,0.0,24.0,38.0,0.0,0.0,396.0,1045.0,0.0,0.0,0.0,0.0,0.0,1045.0,0.0,16.0,0.0,0.0,9.0,0.0,441400.0,0.0,0.0,0.0,10.0,26.0,11.0,0.0,611.0,396.0,38.4,0.0,0.0,0.0,45.0,622.0,699.0,0.0,19.0,18.0,0.0,0.0,0.0,18.0,396.0,396.0,0.0,0.0,72.0,0.0,8.0,12.0,338.0,1441.0,55.0,0.0,12.0,0.0,0.0,15.0,0.0,1045.0,4227.0,396.0,0.0,0.0,396.0,0.0,54794.0,0.0,0.0,949.0,0.0,0.0,0.0,18.0,0.0,0.0,113.0,128.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,530.0,18.0,0.0,64.0,0.0,88.0,10.0,14.0,0.0,9.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,484530001011,48453000101,48453,48453,48,453,000101,1,1500000US484530001011,484530001011,1,BG,951255,0,"POLYGON ((-97.755501 30.334989999999998, -97.75501299999999 30.336232, -97.75119099999999 30.334509999999998, -97.749749 30.334494999999997, -97.748971 30.332932, -97.746358 30.330420999999998, -97.74689 30.327143, -97.74609699999999 30.326141, -97.745498 30.320406, -97.745909 30.320057, -97.749292 30.320717, -97.749118 30.318876, -97.752393 30.320425999999998, -97.753479 30.320567999999998, -97.749144 30.327637, -97.755685 30.330824, -97.755501 30.334989999999998))"
484530001012,0.0,48,453,000101,2,2.53,0.0,14.0,0.0,521.0,0.0,0.0,0.0,63.0,4.0,0.0,0.0,476.0,1202.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,8.0,0.0,0.0,30.0,0.0,465900.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,752.0,521.0,37.8,0.0,0.0,0.0,33.0,765.0,848.0,0.0,10.0,10.0,0.0,0.0,0.0,25.0,476.0,476.0,0.0,0.0,206.0,0.0,8.0,12.0,336.0,2179.0,96.0,0.0,26.0,0.0,0.0,15.0,0.0,1202.0,4227.0,476.0,14.0,0.0,476.0,9.0,86818.0,0.0,0.0,1102.0,18.0,0.0,0.0,18.0,0.0,0.0,121.0,147.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,45.0,11.0,603.0,0.0,0.0,20.0,0.0,35.0,10.0,14.0,0.0,9.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,484530001012,48453000101,48453,48453,48,453,000101,2,1500000US484530001012,484530001012,2,BG,1105423,0,"POLYGON ((-97.76411499999999 30.330838999999997, -97.76036599999999 30.333043999999997, -97.757077 30.337434, -97.75501299999999 30.336232, -97.755501 30.334989999999998, -97.755685 30.330824, -97.749144 30.327637, -97.753479 30.320567999999998, -97.755296 30.321354999999997, -97.75590000000001 30.321367, -97.756137 30.321379, -97.755991 30.325013, -97.758505 30.326617, -97.764645 30.329568, -97.76411499999999 30.330838999999997))"
484530001013,0.0,48,453,000101,3,1.72,0.0,14.0,0.0,1324.0,75.0,0.0,0.0,68.0,98.0,0.0,0.0,1154.0,2016.0,53.0,0.0,0.0,9.0,0.0,1980.0,10.0,15.0,0.0,0.0,46.0,0.0,520300.0,10.0,0.0,50.0,10.0,0.0,60.0,0.0,1027.0,1324.0,38.6,9.0,0.0,79.0,67.0,1087.0,1611.0,0.0,27.0,12.0,0.0,70.0,0.0,18.0,1154.0,1154.0,0.0,0.0,117.0,0.0,8.0,12.0,511.0,1596.0,429.0,0.0,105.0,0.0,0.0,15.0,0.0,2016.0,4227.0,1154.0,0.0,0.0,1154.0,40.0,61602.0,0.0,0.0,1905.0,27.0,0.0,0.0,18.0,0.0,0.0,163.0,206.0,0.0,0.0,0.0,0.0,0.0,43.0,20.0,170.0,9.0,1219.0,223.0,0.0,181.0,0.0,769.0,11.0,14.0,0.0,7.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,484530001013,48453000101,48453,48453,48,453,000101,3,1500000US484530001013,484530001013,3,BG,1068321,0,"POLYGON ((-97.757808 30.309068, -97.756783 30.314842, -97.756137 30.321379, -97.75590000000001 30.321367, -97.755296 30.321354999999997, -97.753479 30.320567999999998, -97.752393 30.320425999999998, -97.749118 30.318876, -97.749246 30.315669, -97.74865 30.312972, -97.748842 30.308964, -97.748003 30.307218, -97.74758899999999 30.305623999999998, -97.74882099999999 30.304717, -97.749259 30.305737999999998, -97.750412 30.307159, -97.75162399999999 30.307765, -97.754639 30.308569, -97.757179 30.308968, -97.757808 30.309068))"
484530001021,0.0,48,453,000102,1,2.28,0.0,0.0,0.0,751.0,16.0,0.0,0.0,47.0,28.0,0.0,0.0,682.0,1578.0,0.0,0.0,0.0,0.0,0.0,1577.0,0.0,21.0,0.0,0.0,71.0,0.0,705900.0,0.0,12.0,23.0,5.0,87.0,24.0,0.0,776.0,751.0,50.2,0.0,1.0,0.0,12.0,800.0,1196.0,1.0,35.0,10.0,0.0,30.0,0.0,91.0,682.0,682.0,0.0,0.0,224.0,0.0,0.0,1.0,365.0,3073.0,246.0,0.0,19.0,0.0,0.0,0.0,0.0,1578.0,2640.0,682.0,0.0,8.0,682.0,31.0,104631.0,0.0,0.0,1489.0,25.0,0.0,0.0,0.0,0.0,0.0,96.0,171.0,2.0,0.0,2.0,0.0,0.0,42.0,2.0,69.0,7.0,844.0,41.0,0.0,38.0,1.0,67.0,42.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,484530001021,48453000102,48453,48453,48,453,000102,1,1500000US484530001021,484530001021,1,BG,2921983,138160,"POLYGON ((-97.78103899999999 30.332416, -97.779428 30.33248, -97.77725099999999 30.335186, -97.777323 30.337155, -97.77696 30.337049999999998, -97.776665 30.336888, -97.776568 30.336812, -97.77645299999999 30.336667, -97.776388 30.33643, -97.77584399999999 30.335614, -97.775447 30.338164, -97.77214099999999 30.339101999999997, -97.770377 30.340897, -97.76860699999999 30.341006, -97.766534 30.340600000000002, -97.763049 30.342575, -97.76043399999999 30.341019, -97.75891 30.338441, -97.757077 30.337434, -97.76036599999999 30.333043999999997, -97.76411499999999 30.330838999999997, -97.764645 30.329568, -97.766487 30.328094999999998, -97.76789 30.325063999999998, -97.770236 30.322502, -97.77340699999999 30.323629, -97.772869 30.320543999999998, -97.774525 30.316339, -97.7716 30.313163999999997, -97.773834 30.312597999999998, -97.77588399999999 30.313606, -97.775661 30.31803, -97.77612099999999 30.320918, -97.776072 30.322177, -97.77650299999999 30.323838, -97.779747 30.330537, -97.780923 30.332248, -97.78103899999999 30.332416))"
484530001022,0.0,48,453,000102,2,2.5,0.0,0.0,0.0,425.0,26.0,0.0,0.0,105.0,18.0,0.0,0.0,425.0,1062.0,0.0,0.0,0.0,0.0,0.0,1062.0,0.0,0.0,0.0,0.0,15.0,0.0,840100.0,11.0,0.0,16.0,5.0,0.0,0.0,0.0,532.0,425.0,50.3,8.0,1.0,0.0,25.0,532.0,746.0,0.0,0.0,0.0,0.0,17.0,0.0,59.0,425.0,425.0,0.0,0.0,135.0,0.0,0.0,1.0,260.0,1553.1254752851712,171.0,0.0,21.0,0.0,0.0,0.0,0.0,1062.0,2640.0,425.0,0.0,8.0,425.0,22.0,96473.0,0.0,0.0,957.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,38.0,0.0,8.0,0.0,39.0,7.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,484530001022,48453000102,48453,48453,48,453,000102,2,1500000US484530001022,484530001022,2,BG,2584046,0,"POLYGON ((-97.772869 30.320543999999998, -97.77340699999999 30.323629, -97.770236 30.322502, -97.76789 30.325063999999998, -97.766487 30.328094999999998, -97.764645 30.329568, -97.758505 30.326617, -97.755991 30.325013, -97.756137 30.321379, -97.756783 30.314842, -97.757808 30.309068, -97.761624 30.309949999999997, -97.76267399999999 30.31048, -97.764229 30.311853, -97.767155 30.313537, -97.76903999999999 30.314529, -97.7716 30.313163999999997, -97.774525 30.316339, -97.772869 30.320543999999998))"
484530002031,0.0,48,453,000203,1,1.75,0.0,5.0,0.0,900.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,767.0,1594.0,0.0,0.0,0.0,0.0,0.0,1395.0,0.0,10.0,0.0,0.0,8.0,0.0,496063.8541666667,0.0,12.0,6.0,6.0,107.0,57.0,0.0,800.0,900.0,25.9,15.0,0.0,44.0,15.0,857.0,942.0,0.0,4.0,9.0,0.0,139.0,0.0,7.0,767.0,767.0,0.0,0.0,30.0,0.0,6.0,43.0,368.0,1723.0,24.0,0.0,42.0,0.0,0.0,0.0,0.0,1594.0,1395.0,767.0,0.0,25.0,767.0,6.0,42938.0,0.0,0.0,1577.0,16.0,0.0,0.0,6.0,32.0,11.0,299.0,28.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,133.0,0.0,826.0,0.0,0.0,489.0,3.0,767.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484530002031,48453000203,48453,48453,48,453,000203,1,1500000US484530002031,484530002031,1,BG,1208518,0,"POLYGON ((-97.740039 30.309949999999997, -97.737571 30.313464, -97.74156699999999 30.315400999999998, -97.739561 30.318595, -97.73754699999999 30.317657999999998, -97.73400799999999 30.323279999999997, -97.73187899999999 30.322181999999998, -97.733537 30.319415, -97.731133 30.318265, -97.73222299999999 30.316499, -97.732976 30.310843, -97.735796 30.30639, -97.738147 30.302740999999997, -97.74311 30.305194999999998, -97.740039 30.309949999999997))"
484530002041,0.0,48,453,000204,1,1.83,8.0,11.0,0.0,725.0,0.0,0.0,0.0,27.0,45.0,0.0,0.0,604.0,1113.0,7.0,0.0,0.0,0.0,0.0,1113.0,0.0,10.0,0.0,0.0,15.0,0.0,410000.0,10.0,0.0,0.0,0.0,7.0,40.0,0.0,654.0,725.0,25.5,0.0,25.0,133.0,21.0,694.0,630.0,0.0,68.0,0.0,0.0,72.0,0.0,0.0,604.0,604.0,0.0,0.0,54.0,0.0,71.0,22.0,215.0,909.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,1113.0,3010.0,604.0,0.0,41.0,604.0,0.0,42831.0,0.0,0.0,1079.0,0.0,0.0,0.0,12.0,17.0,0.0,158.0,82.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,121.0,0.0,345.0,0.0,0.0,494.0,0.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484530002041,48453000204,48453,48453,48,453,000204,1,1500000US484530002041,484530002041,1,BG,513785,0,"POLYGON ((-97.747772 30.297742999999997, -97.74311 30.305194999999998, -97.738147 30.302740999999997, -97.74210000000001 30.296504, -97.742817 30.295429, -97.743918 30.295921999999997, -97.747772 30.297742999999997))"
484530002042,0.0,48,453,000204,2,1.9,8.0,11.0,0.0,686.0,19.0,0.0,0.0,22.0,20.0,0.0,0.0,635.0,1255.0,28.0,11.0,0.0,0.0,0.0,1205.0,0.0,27.0,0.0,0.0,20.0,0.0,498300.0,13.0,0.0,9.0,0.0,19.0,15.0,0.0,748.0,686.0,40.2,25.0,25.0,24.0,16.0,763.0,1042.0,0.0,45.0,22.0,0.0,16.0,0.0,33.0,635.0,635.0,0.0,0.0,115.0,0.0,71.0,22.0,297.0,1181.0,146.0,0.0,41.0,0.0,0.0,0.0,0.0,1255.0,3010.0,635.0,0.0,41.0,635.0,9.0,67348.0,10.0,0.0,1227.0,18.0,0.0,0.0,12.0,17.0,0.0,153.0,93.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,51.0,14.0,585.0,52.0,0.0,88.0,9.0,251.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484530002042,48453000204,48453,48453,48,453,000204,2,1500000US484530002042,484530002042,2,BG,549460,0,"POLYGON ((-97.749118 30.318876, -97.74156699999999 30.315400999999998, -97.742594 30.311189, -97.74267499999999 30.308427, -97.748499 30.310792, -97.747506 30.307088999999998, -97.748003 30.307218, -97.748842 30.308964, -97.74865 30.312972, -97.749246 30.315669, -97.749118 30.318876))"
484530002043,0.0,48,453,000204,3,2.11,8.0,11.0,0.0,324.0,11.0,0.0,0.0,35.0,19.0,0.0,0.0,324.0,692.0,0.0,0.0,0.0,0.0,0.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,638900.0,26.0,0.0,0.0,0.0,11.0,0.0,0.0,394.0,324.0,38.2,0.0,25.0,21.0,1.0,394.0,524.0,0.0,43.0,0.0,0.0,54.0,0.0,15.0,324.0,324.0,0.0,0.0,80.0,0.0,71.0,22.0,239.0,1107.0,48.0,0.0,8.0,0.0,0.0,0.0,0.0,692.0,3010.0,324.0,0.0,41.0,324.0,10.0,58717.0,0.0,0.0,634.0,0.0,0.0,0.0,12.0,17.0,0.0,126.0,117.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,426.0,0.0,0.0,32.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484530002043,48453000204,48453,48453,48,453,000204,3,1500000US484530002043,484530002043,3,BG,759687,0,"POLYGON ((-97.74882099999999 30.304717, -97.74758899999999 30.305623999999998, -97.748003 30.307218, -97.747506 30.307088999999998, -97.748499 30.310792, -97.74267499999999 30.308427, -97.742594 30.311189, -97.74156699999999 30.315400999999998, -97.737571 30.313464, -97.740039 30.309949999999997, -97.74311 30.305194999999998, -97.747772 30.297742999999997, -97.74910899999999 30.298862, -97.74710999999999 30.299484, -97.75009 30.302673, -97.74882099999999 30.304717))"
484530002051,0.0,48,453,000205,1,1.88,0.0,0.0,0.0,907.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,815.0,1529.0,35.0,0.0,0.0,0.0,0.0,1529.0,0.0,0.0,0.0,0.0,15.0,0.0,302100.0,35.0,20.0,0.0,0.0,21.0,11.0,0.0,1112.0,907.0,34.4,0.0,0.0,0.0,12.0,1123.0,1344.0,0.0,129.0,0.0,0.0,179.0,0.0,55.0,815.0,815.0,0.0,0.0,76.0,0.0,213.0,21.0,517.0,1324.0,86.0,0.0,30.0,0.0,0.0,0.0,0.0,1529.0,3929.0,815.0,0.0,0.0,815.0,37.0,46588.0,0.0,0.0,1484.0,80.0,0.0,0.0,15.0,0.0,0.0,174.0,89.0,0.0,0.0,0.0,0.0,0.0,45.0,15.0,92.0,0.0,755.0,0.0,0.0,51.0,0.0,477.0,22.0,0.0,0.0,0.0,22.0,0.0,115.0,20.0,0.0,0.0,0.0,484530002051,48453000205,48453,48453,48,453,000205,1,1500000US484530002051,484530002051,1,BG,576345,0,"POLYGON ((-97.73982199999999 30.334851999999998, -97.73159299999999 30.330871, -97.735869 30.324161999999998, -97.73961299999999 30.325851999999998, -97.740096 30.33248, -97.73982199999999 30.334851999999998))"
